Pos,Player,O,M,R,W,Avge,5 wkts,Best,Economy
35,John Park,7745.0,1834,25331,1208,20.97,26,8-30,3.27
17,Arthur Hill,4580.4,634,17569,976,18.00,29,8-31,3.84
48,John Canning,3495.1,357,17428,715,24.37,9,6-50,4.99
37,Martin Park,4156.4,547,16963,794,21.36,14,7-9,4.08
38,Rob Perry,2783.1,283,13882,634,21.90,8,7-63,4.99
29,Simon Hollands,3508.1,579,12965,638,20.32,17,7-21,3.70
18,Patrick Seeney,3776.3,778,12493,680,18.37,16,7-25,3.31
53,Steve Keen,3092.5,471,12113,459,26.39,7,6-17,3.92
32,Jim Goldstraw,3229.1,670,11688,562,20.80,8,6-15,3.62
3,Charlie Bunting,3422.0,556,11542,912,12.66,62,9-44,3.37
13,Leon Gates,3622.5,839,11320,716,15.81,16,6-10,3.12
15,Bill Keen,3228.0,670,9907,578,17.14,13,7-14,3.07
51,Ivan King,2775.5,538,9546,380,25.12,5,6-30,3.44
42,Tom Burgess,1935.4,225,9049,395,22.91,8,6-32,4.67
9,John Adams,3014.4,630,8888,598,14.86,30,7-20,2.95
14,Steve Burgess,2816.1,607,8509,504,16.88,14,8-14,3.02
46,Richard Brereton,1899.2,292,7948,331,24.01,5,6-19,4.18
12,Chris Ashton,2601.3,589,7317,473,15.47,19,9-32,2.81
52,Lee Chambers,1532.1,163,7084,273,25.95,4,5-43,4.62
36,Jon Simpson,1843.4,274,6651,315,21.11,5,6-32,3.61
34,Peter Grinsted,1751.2,270,6646,318,20.90,4,5-19,3.79
62,Duncan Saunders,1238.4,105,6563,160,41.02,1,5-14,5.30
22,Neil Batson,1883.4,372,6387,328,19.47,5,7-38,3.39
10,Barry Nutter,1999.0,412,6291,420,14.98,17,8-17,3.15
56,Alan Green,1611.1,301,5850,198,29.55,1,5-49,3.63
23,Phil Williams,1421.2,163,5762,295,19.53,8,6-21,4.05
43,Paul Hoy,1361.4,183,5521,239,23.10,5,6-32,4.05
8,Steve Kerby,1490.1,215,5317,364,14.61,8,9-21,3.57
47,Andy Harris,929.5,72,4704,194,24.25,3,5-23,5.06
7,Chris Burgess,1669.5,393,4639,323,14.36,9,8-10,2.78
28,Jim Toseland,904.3,71,4470,222,20.14,5,7-54,4.94
5,Dave Cunningham,1524.5,341,4410,328,13.45,15,7-16,2.89
59,Lewis Hopkins,807.2,57,4361,135,32.30,2,6-28,5.40
24,Aidan Gilroy,1052.4,123,4329,221,19.59,9,6-55,4.11
4,Fred Walker,1825.0,549,4257,325,13.10,14,8-25,2.33
40,Sam Grinsted,1105.1,128,4218,192,21.97,3,5-8,3.82
21,Barry Weston,933.2,106,4032,212,19.02,5,5-8,4.32
25,Steve Downey,1302.3,252,3939,197,19.99,3,5-20,3.02
